ticker,record_date,assets,liabilities,cash,shares,long_term_debt,revenue,net_income,ebit,operating_cash_flow,assets_yoy,net_income_yoy,operating_cash_flow_yoy
SENS,2025-10-31,139924000.0,61759000.0,34458000.0,40858460.0,35266000.0,32915000.0,-177245000.0,-109147000.0,-143056000.0,0.45253345236735837,-0.3453448668335989,0.1093706051623791
ACHV,2025-11-06,52040000.0,18425000.0,31930000.0,53233988.0,,,-14673000.0,45418000.0,-92503000.0,0.086044618820043,-0.1660044500953592,-0.5299548126913173
PDYN,2025-10-28,72929000.0,21083000.0,27361000.0,42037410.0,,8185000.0,15577000.0,-54274000.0,-62117000.0,0.8826217151117766,0.47294250281848926,-0.09132394044834864
ACRS,2025-10-31,175534000.0,55434000.0,25256000.0,108345239.0,10731000.0,1118000.0,-219592000.0,-125690000.0,-90164000.0,-0.037610886323015014,-0.7996921723834652,-2.0512705396426325
PALI,2025-11-05,6973000.0,3761000.0,5227000.0,149003210.0,87000.0,272500.0,-18548000.0,-18993000.0,-26379000.0,-0.2531062553556127,0.17751648981932894,0.21494088870770486
ZIP,2025-09-30,573552000.0,649700000.0,211809000.0,,,,-47267000.0,-53378000.0,39700000.0,-0.12036219081272084,-2.3552894211576847,-0.9023854646090906
BNED,2025-11-19,790285000.0,518097000.0,9058000.0,34053847.0,103100000.0,2821112000.0,-35612000.0,85046000.0,-458069000.0,-0.13150627123058545,1.7358647162568732,-15.675712612260835
PRE,2024-12-31,,,,12984844.0,,,,,,,,
INV,2025-11-12,556515000.0,149936000.0,9061000.0,62471971.0,14907000.0,,-595526000.0,-1008528000.0,-136992000.0,8.985735048716155,0.0224060668734919,-2.0207540086877245
GLDG,2024-11-30,,,,195935156.0,,,,,,,,
ABEO,2025-11-07,231095000.0,59862000.0,82884000.0,54191361.0,19751000.0,2998000.0,-154300000.0,-155866000.0,-169976000.0,0.916337733846358,0.620253164556962,-0.47944545823195456
SLN,2025-10-30,146790000.0,72727000.0,82031000.0,141701848.0,,,,-181195000.0,-159026000.0,-0.27559404841216967,,-0.12014741402923379
GSIT,2025-10-31,51989000.0,13437000.0,25326000.0,35241703.0,,,-21443000.0,-21561000.0,-28603000.0,0.09695320082710891,0.4164529131550018,0.6643853305785123
ASPN,2025-11-04,491395000.0,185662000.0,150722000.0,82647081.0,70090000.0,,-13949000.0,-620843000.0,69620000.0,-0.3720889818001066,-0.22799365582870737,0.6966041561074506
QSI,2025-09-30,260127000.0,24968000.0,30910000.0,,,,-196292000.0,-220130000.0,-238670000.0,0.10011672460605446,-0.41046102793031247,-0.2072896447607604
CCRN,2025-10-31,538231000.0,130089000.0,99132000.0,32759952.0,70974000.0,1458401000.0,-30505000.0,-31477000.0,165707000.0,-0.09907887711052303,-2.8684931506849316,-0.6869902588598485
IMMX,2025-11-05,20080604.0,11815634.0,15947308.0,33577873.0,,80000000.0,,-44843983.0,-36175860.0,-0.20129815374961738,,0.016633020563303152
TPVG,2025-11-04,835513000.0,480460000.0,20033000.0,40399797.0,466124000.0,,,,42812000.0,0.07344814959947067,,-1.8241440933032356
BLFY,2025-11-07,2155792000.0,1841395000.0,44086000.0,20761225.0,,,,,-2555000.0,0.04899972896603706,,-1.3659192825112108
BZAI,2025-11-06,60904000.0,59598000.0,24001000.0,110988152.0,,31694000.0,,-186861000.0,-108377927.0,0.21545308985501993,,-0.6008159159494803
ALDX,2025-10-28,77801012.0,28556469.0,59340599.0,60162773.0,15300000.0,,-28157757.0,-67363378.0,-104749704.0,-0.33684417213623885,-1.324930881852549,0.10026866503044954
MEI,2025-12-01,1287400000.0,608100000.0,118500000.0,35408249.0,332500000.0,3350400000.0,,-15900000.0,60200000.0,-0.06377717984146608,,1.477088948787062
OPRX,2025-10-24,170321000.0,48058000.0,19519000.0,18640652.0,28790000.0,183575000.0,-66680306.0,9438000.0,28805000.0,0.031005030296793565,-0.1448339637795256,1.4785759965892133
SLQT,2025-10-31,1206976000.0,660050000.0,10745000.0,175971744.0,393149000.0,3445057000.0,26251000.0,130834000.0,-52777000.0,0.05240781221253306,-0.07621335248956135,-0.30180614087898855
TSSI,2025-11-11,165412000.0,102002000.0,70696000.0,28845037.0,0.0,413594000.0,,13072000.0,91450000.0,1.4584881543354835,,-0.49806469075653
MDWD,2024-12-31,,,,10793057.0,,,,,,,,
LTRX,2025-11-01,119568000.0,45118000.0,22191000.0,39358610.0,5250000.0,275301000.0,,-23974000.0,20126000.0,-0.13267275022124214,,0.3537363875328577
ELME,2025-10-21,1686859000.0,777680000.0,7088000.0,88161161.0,,433489000.0,-267684000.0,-200340000.0,219376000.0,-0.0897386570715195,-39.550196850393704,-0.12445751282884972
KINS,2025-11-06,428590242.0,320937200.0,8976998.0,14147428.0,4752684.0,369186867.0,,,155998358.0,0.23515031010543597,,0.517797011165295
ACB,2025-03-31,,,,56234231.0,,,,,,,,
INVZ,2025-09-30,151063000.0,,7886000.0,169397030.0,,112061000.0,-205127000.0,-262400000.0,-199912000.0,0.143992002968595,0.388926090781371,0.343838814453918
HRTX,2025-10-30,248950000.0,234065000.0,43068000.0,183362522.0,,,,-6789000.0,-69544000.0,0.12760840123744774,,-0.7124383663596614
HUMA,2025-11-04,91509000.0,96260000.0,19488000.0,187271321.0,30000000.0,,-56142000.0,-184329000.0,-260655000.0,-0.20263322993273153,0.5747693627976829,-0.1030540219442309
UIS,2025-09-30,1743800000.0,,321900000.0,71306106.0,490400000.0,3234500000.0,-200600000.0,34100000.0,-359400000.0,-0.06327889987107864,-0.3689727463312369,-5.1863247863247866
LOVE,2025-12-08,495514000.0,306207000.0,23722000.0,14617106.0,78000000.0,1058668000.0,-47345414.0,-87985000.0,-65705000.0,-0.008404807549918554,0.5597514795140357,-5.756440745144669
EWCZ,2025-10-04,734117000.0,,,,390000000.0,,,14281000.0,142325000.0,0.0,,0.1316145181476846
RZLT,2025-11-04,158664000.0,11496000.0,9098000.0,92727532.0,14286000.0,,-263117000.0,-173778000.0,-202685000.0,0.28562399727745635,-0.08695715683839962,-0.08842263019857624
FC,2025-12-31,221263000.0,167251000.0,17525000.0,11552552.0,18810000.0,594052000.0,,-2333000.0,60890000.0,-0.0777096029278134,,-0.9930717568045245
FOSL,2025-11-04,701027000.0,,79216000.0,54640589.0,164800000.0,,-121772000.0,-31389000.0,-137707000.0,-0.1370998316117025,-0.24470044644250882,-5.520314142600952
OSS,2025-10-31,43057960.0,16718212.0,6508020.0,24515491.0,3012945.0,94652434.0,,-8221374.0,-7673609.0,-0.014100202801365735,,-3.297882712982466
FNKO,2025-09-30,699271000.0,,39177000.0,,105967000.0,,,-137781000.0,23614000.0,-0.10758779643020315,,-1.5209438047127484
CCCC,2025-10-29,265488000.0,111080000.0,58809000.0,96914418.0,10335000.0,,-199389000.0,-212655000.0,-220333000.0,-0.294027548795405,-0.26467174191603227,-0.6209422975119111
RILY,2025-12-10,1545223000.0,1854526000.0,267388000.0,30597066.0,1323727000.0,1661327000.0,-521402000.0,-577062000.0,504654000.0,-0.5225314110451438,1.3155417922542405,-1.1027998006797954
CABA,2025-10-31,189759000.0,50293000.0,60206000.0,96265204.0,,,-73914000.0,-305166000.0,-275989000.0,-0.07167457560784697,-0.49710359692846556,-0.47061443932411673
CATX,2025-11-06,294825000.0,52609000.0,26762000.0,74337990.0,1638000.0,14760000.0,-23226000.0,-171503000.0,-139238000.0,-0.24626680608355297,-3.5729426433915212,-7.957050048123195
ALTS,2026-01-12,1640028000.0,80090000.0,7318000.0,126199169.0,6166000.0,26752000.0,64857000.0,-42623000.0,-21959000.0,20.89974361713492,60.564476885644766,-5.147492625368732
DFDV,2025-11-19,479954000.0,236150000.0,1800000.0,31401212.0,,15782000.0,,193975000.0,-12301923.0,106.01804653278467,,-2.1447074586869137
JELD,2025-10-31,2171754000.0,2057815000.0,106676000.0,85429710.0,0.0,,157544000.0,-816722000.0,-63911000.0,-0.23387353953829654,0.5859715401082987,-1.4831784684396028
SHIP,2025-06-30,597565000.0,339823000.0,12844000.0,68314985.0,285029000.0,391996000.0,84122000.0,137318000.0,161613000.0,0.1382689146381651,-1.174543408638449,-0.5366640036521342
SRFM,2025-11-07,106786000.0,199343000.0,7062000.0,52266051.0,63800000.0,,,-117927000.0,-142361000.0,0.09100011238365738,,-0.489428143907358
LPRO,2025-11-04,287651000.0,214826000.0,222134000.0,118189443.0,134352000.0,131414000.0,-10802000.0,-10350000.0,2126000.0,-0.2730707316271888,-6.267223382045929,-1.4120900076277652
